t,S_a,I_a,S_h,I_h,R_h
0.000000000000000000e+00,9.900000000000000000e+03,1.000000000000000000e+02,9.999000000000000000e+03,1.000000000000000000e+00,0.000000000000000000e+00
1.001001001001001072e+02,1.446765153194905906e+04,9.449009350053981393e+01,1.288125300981560213e+04,4.530549435231068678e+00,4.084051429805535349e+01
2.002002002002002143e+02,2.008683380208891685e+04,8.996379839228008279e+01,1.574254574053050601e+04,5.065161840564361029e+00,8.868736036806629386e+01
3.003003003003003073e+02,2.627419222043350965e+04,8.641673871833963005e+01,1.858392727321284110e+04,5.531684106543029777e+00,1.413191873411249730e+02
4.004004004004004287e+02,3.230818748959643926e+04,8.377744556499045814e+01,2.140638799221795489e+04,5.957711618461938308e+00,1.981862668919414432e+02
5.005005005005005501e+02,3.753460566529501375e+04,8.191051599294905827e+01,2.421054878460902182e+04,6.358891027350563441e+00,2.589542777528844795e+02
6.006006006006006146e+02,4.161640477105062018e+04,8.064664926350917540e+01,2.699684029334553270e+04,6.742388673204145810e+00,3.234010742174779693e+02
7.007007007007007360e+02,4.455406504943460459e+04,7.981973236475663214e+01,2.976561783804648076e+04,7.110477517923024848e+00,3.913497300246627901e+02
8.008008008008008574e+02,4.654618126924500393e+04,7.929143904618432259e+01,3.251721880496095037e+04,7.463365819078381591e+00,4.626345211071361518e+02
9.009009009009009787e+02,4.784318417683048028e+04,7.895883991019672976e+01,3.525198135330625519e+04,7.800836152633838338e+00,5.370894293079466024e+02
1.001001001001001100e+03,4.866537217557487747e+04,7.875088564109515232e+01,3.797024427690691664e+04,8.122911338430007788e+00,6.145478449171531565e+02
1.101101101101101222e+03,4.917777704409822763e+04,7.862086863741222942e+01,4.067234094546295091e+04,8.429986202022096364e+00,6.948459151610436493e+02
1.201201201201201229e+03,4.949374088949832367e+04,7.853901856125027336e+01,4.335859339147923311e+04,8.722748321125965987e+00,7.778259308544692203e+02
1.301301301301301464e+03,4.968729747138445236e+04,7.848672450298363401e+01,4.602930836328982696e+04,9.002057147243508695e+00,8.633386247030064169e+02
1.401401401401401472e+03,4.980539269679298741e+04,7.845248957779662646e+01,4.868477539224439533e+04,9.268842290740998635e+00,9.512443208122252827e+02
1.501501501501501707e+03,4.987726770984035102e+04,7.842926445156670923e+01,5.132526634615978401e+04,9.524034464619740348e+00,1.041413226783489563e+03
1.601601601601601715e+03,4.992094738983546995e+04,7.841274471409391822e+01,5.395103592094186752e+04,9.768524357170919714e+00,1.133725179435617520e+03
1.701701701701701722e+03,4.994746856065234897e+04,7.840030984258559954e+01,5.656232264482876053e+04,1.000314157149700733e+01,1.228069089701978555e+03
1.801801801801801957e+03,4.996356233806123055e+04,7.839036719532109032e+01,5.915935012015308166e+04,1.022864622642967980e+01,1.324342246184912710e+03
1.901901901901901965e+03,4.997332583297381643e+04,7.838194936669258084e+01,6.174232832694204262e+04,1.044572805293644890e+01,1.422449579537759973e+03
2.002002002002002200e+03,4.997924763066773448e+04,7.837446947795002927e+01,6.431145489361338696e+04,1.065500967151026046e+01,1.522302943072532571e+03
2.102102102102102435e+03,4.998283932686525077e+04,7.836757127250562860e+01,6.686691628314818081e+04,1.085705164376890153e+01,1.623820440115408246e+03
2.202202202202202443e+03,4.998501719306388259e+04,7.836103884729757851e+01,6.940888885426240449e+04,1.105235868839564795e+01,1.726925821115526333e+03
2.302302302302302451e+03,4.998633848725350981e+04,7.835474086783172254e+01,7.193753989541729970e+04,1.124138542203863089e+01,1.831547897217499894e+03
2.402402402402402458e+03,4.998714084566675592e+04,7.834859770728346007e+01,7.445302846456275438e+04,1.142454189621343197e+01,1.937620062880465184e+03
2.502502502502502466e+03,4.998762705209556589e+04,7.834256147806281945e+01,7.695550603186158696e+04,1.160219913256292834e+01,2.045079928586985716e+03
2.602602602602602929e+03,4.998792225022039929e+04,7.833660256163254587e+01,7.944511735543770192e+04,1.177469322954606135e+01,2.153868826259056732e+03
2.702702702702702936e+03,4.998810146610792435e+04,7.833070313112176564e+01,8.192200095978009631e+04,1.194232968438739739e+01,2.263931535582212291e+03
2.802802802802802944e+03,4.998821033738683764e+04,7.832485227352243840e+01,8.438628969826429966e+04,1.210538692075530598e+01,2.375215964887147948e+03
2.902902902902902952e+03,4.998827664790074050e+04,7.831904327606414995e+01,8.683811122826681822e+04,1.226411910287232132e+01,2.487672881494132980e+03
3.003003003003003414e+03,4.998831715979690489e+04,7.831327201905982349e+01,8.927758842334880319e+04,1.241875921403297056e+01,2.601255677427380760e+03
3.103103103103103422e+03,4.998834204987222620e+04,7.830753593243566968e+01,9.170483975152134371e+04,1.256952110348935037e+01,2.715920154912932503e+03
3.203203203203203429e+03,4.998835745098475309e+04,7.830183339803595288e+01,9.411997960126123508e+04,1.271660155650917012e+01,2.831624341359276059e+03
3.303303303303303437e+03,4.998836708448873105e+04,7.829616336572483704e+01,9.652311858491878957e+04,1.286018215881324522e+01,2.948328317240863726e+03
3.403403403403403445e+03,4.998837323073751031e+04,7.829052512516791751e+01,9.891436381555961270e+04,1.300043078012571485e+01,3.065994059209767784e+03
3.503503503503503907e+03,4.998837722282479808e+04,7.828491818974006833e+01,1.012938191202227317e+05,1.313750296096109871e+01,3.184585319134222573e+03
3.603603603603603915e+03,4.998837992193915852e+04,7.827934218475483874e+01,1.036615852991912543e+05,1.327154311475010928e+01,3.304067477336032425e+03
3.703703703703703923e+03,4.998838188351162535e+04,7.827379680839216292e+01,1.060177603199749428e+05,1.340268553459003620e+01,3.424407432766379770e+03
3.803803803803803930e+03,4.998838340056684683e+04,7.826828182151729152e+01,1.083624394711772329e+05,1.353105540773690230e+01,3.545573515810811386e+03
3.903903903903904393e+03,4.998838461960755376e+04,7.826279702043018460e+01,1.106957155276915728e+05,1.365676955006968640e+01,3.667535394884816014e+03
4.004004004004004400e+03,4.998838564493529702e+04,7.825734221232903565e+01,1.130176789133722777e+05,1.377993723309502094e+01,3.790263984416977110e+03
4.104104104104104408e+03,4.998838655212352023e+04,7.825191721213846563e+01,1.153284178408931475e+05,1.390066071078478416e+01,3.913731365876104064e+03
4.204204204204204871e+03,4.998838739774323767e+04,7.824652184022697554e+01,1.176280184345082089e+05,1.401903619412517799e+01,4.037910718198973882e+03
4.304304304304304424e+03,4.998838821266822197e+04,7.824115592397585317e+01,1.199165648436737538e+05,1.413515344949770203e+01,4.162776254155633069e+03
4.404404404404404886e+03,4.998838899815095647e+04,7.823581929868872464e+01,1.221941393396391650e+05,1.424909754456435707e+01,4.288303165054112469e+03
4.504504504504504439e+03,4.998838976267675025e+04,7.823051179892878793e+01,1.244608224109894218e+05,1.436094827199595159e+01,4.414467566837174672e+03
4.604604604604604901e+03,4.998839051293305238e+04,7.822523326062223248e+01,1.267166928913467127e+05,1.447078097746222269e+01,4.541246429671754413e+03
4.704704704704705364e+03,4.998839125306760980e+04,7.821998352121467235e+01,1.289618280525730515e+05,1.457866675690558189e+01,4.668617526272193572e+03
4.804804804804804917e+03,4.998839198539894278e+04,7.821476241957671505e+01,1.311963035460212850e+05,1.468467285708821279e+01,4.796559458250044372e+03
4.904904904904905379e+03,4.998839271144725353e+04,7.820956979567718292e+01,1.334201936186614912e+05,1.478886293508045569e+01,4.925051541170432756e+03
5.005005005005004932e+03,4.998839343218312570e+04,7.820440549053074619e+01,1.356335711543963698e+05,1.489129726279830734e+01,5.054073780380232165e+03
5.105105105105105395e+03,4.998839414817999932e+04,7.819926934616800906e+01,1.378365077112672152e+05,1.499203303644757490e+01,5.183606849104282446e+03
5.205205205205205857e+03,4.998839485977446020e+04,7.819416120559539252e+01,1.400290735767627775e+05,1.509112455306056333e+01,5.313632057124192215e+03
