t,S_a,I_a,S_h,I_h,R_h
0.000000000000000000e+00,9.900000000000000000e+03,1.000000000000000000e+02,9.999000000000000000e+03,1.000000000000000000e+00,0.000000000000000000e+00
1.001001001001001072e+02,1.446861742748792676e+04,9.366046393076454990e+01,1.288150113091840649e+04,4.502274766711303222e+00,4.071630727304922459e+01
2.002002002002002143e+02,2.008921966202786280e+04,8.805743726410187833e+01,1.574372083824965011e+04,4.990659316004191659e+00,8.806555517339982941e+01
3.003003003003003073e+02,2.627821997107756761e+04,8.315939551330018276e+01,1.858703545640281664e+04,5.391090152141839731e+00,1.396425832532361540e+02
4.004004004004004287e+02,3.231370478881994495e+04,7.889954269274349485e+01,2.141279987925685782e+04,5.729719811623573911e+00,1.946925407720964927e+02
5.005005005005005501e+02,3.754117702743401605e+04,7.518045436209533250e+01,2.422200280568981179e+04,6.022891972751889256e+00,2.526729093296594897e+02
6.006006006006006146e+02,4.162354457535000256e+04,7.189259728054479126e+01,2.701540980168807073e+04,6.280300860159421461e+00,3.131708929710501366e+02
7.007007007007007360e+02,4.456141886009244627e+04,6.893466286224244755e+01,2.979365480141497392e+04,6.507635205270973167e+00,3.758502264626078500e+02
8.008008008008008574e+02,4.655356014562297787e+04,6.622539756384760778e+01,3.255729142182007854e+04,6.708500344216611566e+00,4.404211020195646711e+02
9.009009009009009787e+02,4.785052423487004125e+04,6.370569959619282940e+01,3.530681790489475679e+04,6.885546752190527364e+00,5.066254391575733393e+02
1.001001001001001100e+03,4.867267941263256216e+04,6.133508477334412845e+01,3.804268831929763837e+04,7.041000696748064946e+00,5.742302567576637102e+02
1.101101101101101222e+03,4.918507430053621647e+04,5.908662499733556217e+01,4.076531790681758139e+04,7.176863269326342554e+00,6.430245373243000131e+02
1.201201201201201229e+03,4.950106636093485577e+04,5.694247613540354536e+01,4.347508665730154462e+04,7.294966228446380541e+00,7.128171828470239006e+02
1.301301301301301464e+03,4.969468300751890638e+04,5.489060847702778290e+01,4.617234223475202452e+04,7.396980710116878299e+00,7.834353515797299679e+02
1.401401401401401472e+03,4.981285942067211727e+04,5.292261858402631702e+01,4.885740294988208188e+04,7.484418191264660791e+00,8.547227788898640028e+02
1.501501501501501707e+03,4.988483199670385511e+04,5.103234377368957553e+01,5.153056066975788417e+04,7.558635187045230630e+00,9.265381318444337921e+02
1.601601601601601715e+03,4.992861913280880253e+04,4.921501000526315295e+01,5.419208359234948875e+04,7.620842568359783797e+00,9.987534380888872647e+02
1.701701701701701722e+03,4.995525331429927610e+04,4.746671652326654822e+01,5.684221878406171163e+04,7.672118107728873149e+00,1.071252644775328918e+03
1.801801801801801957e+03,4.997146322545772273e+04,4.578412622950249755e+01,5.948119447774119180e+04,7.713420288783261469e+00,1.143930312504965741e+03
1.901901901901901965e+03,4.998134303459146031e+04,4.416428000849801805e+01,6.210922211915609660e+04,7.745602061209522660e+00,1.216690451612775860e+03
2.002002002002002200e+03,4.998738039045273763e+04,4.260448493869398590e+01,6.472649817229888868e+04,7.769423748575575495e+00,1.289445495479322290e+03
2.102102102102102435e+03,4.999108570865182264e+04,4.110224569939006045e+01,6.733320574866580137e+04,7.785564631042658945e+00,1.362115380775526546e+03
2.202202202202202443e+03,4.999337462554784724e+04,3.965522552452375749e+01,6.992951576910087897e+04,7.794633717181390864e+00,1.434626856039175436e+03
2.302302302302302451e+03,4.999480347656353115e+04,3.826121484401756589e+01,7.251558851335939835e+04,7.797178019019475492e+00,1.506912649147771162e+03
2.402402402402402458e+03,4.999571059635364509e+04,3.691811641395476329e+01,7.509157450589294604e+04,7.793690857728838850e+00,1.578910927816232743e+03
2.502502502502502466e+03,4.999629882029153669e+04,3.562393454854157682e+01,7.765761530468730780e+04,7.784618510216343878e+00,1.650564860221934168e+03
2.602602602602602929e+03,4.999669274942538323e+04,3.437676403609424369e+01,8.021384451351431198e+04,7.770365848268473208e+00,1.721822041163717358e+03
2.702702702702702936e+03,4.999696753429813543e+04,3.317478452891484153e+01,8.276038840614934452e+04,7.751301360223177284e+00,1.792634136123192093e+03
2.802802802802802944e+03,4.999716875399901619e+04,3.201625505749583311e+01,8.529736655854721903e+04,7.727761382944327018e+00,1.862956522043504947e+03
2.902902902902902952e+03,4.999732416205031768e+04,3.089950928208866188e+01,8.782489242105175799e+04,7.700053741005135066e+00,1.932747962503611689e+03
3.003003003003003414e+03,4.999745096894518065e+04,2.982295139414983254e+01,9.034307382654170215e+04,7.668460880329879714e+00,2.001970319160286181e+03
3.103103103103103422e+03,4.999755924640779267e+04,2.878505276799783630e+01,9.285201339977506723e+04,7.633242813684158357e+00,2.070588319135372785e+03
3.203203203203203429e+03,4.999765512177167693e+04,2.778434849035987142e+01,9.535180896856077015e+04,7.594639241074096603e+00,2.138569321899703482e+03
3.303303303303303437e+03,4.999774252026378235e+04,2.681943422722491732e+01,9.784255392575518636e+04,7.552871766034561674e+00,2.205883113852537917e+03
3.403403403403403445e+03,4.999782381152518064e+04,2.588896341500093357e+01,1.003243375419325603e+05,7.508145727276216874e+00,2.272501730973155645e+03
3.503503503503503907e+03,4.999790038875647588e+04,2.499164457195306710e+01,1.027972452510291041e+05,7.460651751859631808e+00,2.338399296910703015e+03
3.603603603603603915e+03,4.999797315457496734e+04,2.412623872931605362e+01,1.052613589129181637e+05,7.410567217908176296e+00,2.403551874158122246e+03
3.703703703703703923e+03,4.999804272794306598e+04,2.329155701595757222e+01,1.077167570521966700e+05,7.358057444190686525e+00,2.467937328815626643e+03
3.803803803803803930e+03,4.999810957003917429e+04,2.248645835484586897e+01,1.101635150782202691e+05,7.303276850129392095e+00,2.531535205963208682e+03
3.903903903903904393e+03,4.999817392387236760e+04,2.170984737021084854e+01,1.126017054711980018e+05,7.246369900443201395e+00,2.594326624326583897e+03
4.004004004004004400e+03,4.999823593681299826e+04,2.096067233758016002e+01,1.150313979610805254e+05,7.187472014261908626e+00,2.656294175037676268e+03
4.104104104104104408e+03,4.999829573227541550e+04,2.023792323651452207e+01,1.174526596919883159e+05,7.126710347497516196e+00,2.717421828633889163e+03
4.204204204204204871e+03,4.999835342687604134e+04,1.954062990683175727e+01,1.198655553723222547e+05,7.064204484669281747e+00,2.777694850195729487e+03
4.304304304304304424e+03,4.999840912852445763e+04,1.886786030539701287e+01,1.222701474116056343e+05,7.000067089332063119e+00,2.837099722002624276e+03
4.404404404404404886e+03,4.999846293216932099e+04,1.821871883532752889e+01,1.246664960479803849e+05,6.934404485013460295e+00,2.895624071507054850e+03
4.504504504504504439e+03,4.999851490408128302e+04,1.759234478674778757e+01,1.270546594614819041e+05,6.867317163859803841e+00,2.953256607382224502e+03
4.604604604604604901e+03,4.999856510287216952e+04,1.698791083855977746e+01,1.294346938802192890e+05,6.798900246758370791e+00,3.009987059605024569e+03
4.704704704704705364e+03,4.999861359116564563e+04,1.640462162667644819e+01,1.318066536792935512e+05,6.729243929490227316e+00,3.065806123648197627e+03
4.804804804804804917e+03,4.999866043248924689e+04,1.584171238709041774e+01,1.341705914714159153e+05,6.658433874511951345e+00,3.120705409391068315e+03
4.904904904904905379e+03,4.999870568759210437e+04,1.529844766546495904e+01,1.365265581905245781e+05,6.586551550599413218e+00,3.174677394014172933e+03
5.005005005005004932e+03,4.999874941239062900e+04,1.477412009871746434e+01,1.388746031680527667e+05,6.513674553448324467e+00,3.227715379054637651e+03
5.105105105105105395e+03,4.999879165687747445e+04,1.426804920691101231e+01,1.412147742081823235e+05,6.439876936917666050e+00,3.279813448028838593e+03
5.205205205205205857e+03,4.999883247023186414e+04,1.377958031315206888e+01,1.435471176501306181e+05,6.365229493928639570e+00,3.330966431406215634e+03
5.305305305305305410e+03,4.999887190085765906e+04,1.330808346882554716e+01,1.458716784306390909e+05,6.289799896436820248e+00,3.381169871548711853e+03
5.405405405405405872e+03,4.999890999610962172e+04,1.285295244312483653e+01,1.481885001411348640e+05,6.213653067299099497e+00,3.430419990526998845e+03
5.505505505505506335e+03,4.999894680288382369e+04,1.241360373351806423e+01,1.504976250819347333e+05,6.136851319751086997e+00,3.478713659738590195e+03
5.605605605605605888e+03,4.999898236525103857e+04,1.198947567226427502e+01,1.527990943084238970e+05,6.059454539871474310e+00,3.526048374032861830e+03
5.705705705705706350e+03,4.999901672520006832e+04,1.158002752950622316e+01,1.550929476787736930e+05,5.981520416557502884e+00,3.572422224939877196e+03
5.805805805805805903e+03,4.999904992335888528e+04,1.118473868384442049e+01,1.573792238945405988e+05,5.903104555152830279e+00,3.617833877984657192e+03
