t,S_a,I_a,S_h,I_h,R_h
0.000000000000000000e+00,9.900000000000000000e+03,1.000000000000000000e+02,9.999000000000000000e+03,1.000000000000000000e+00,0.000000000000000000e+00
1.001001001001001072e+02,1.446801459609764788e+04,9.417820721791308358e+01,1.288134612088479480e+04,4.519936196021758334e+00,4.079390535457535805e+01
2.002002002002002143e+02,2.008773345947668713e+04,8.924456371276153277e+01,1.574298702931253683e+04,5.037167075890865320e+00,8.845386092324585547e+01
3.003003003003003073e+02,2.627571750318186605e+04,8.518184036405757809e+01,1.858509545818853439e+04,5.478790727531182014e+00,1.406890790944138701e+02
4.004004004004004287e+02,3.231028892167315644e+04,8.191678852192129057e+01,2.140880009739663728e+04,5.871818488246907997e+00,1.968720227967578751e+02
5.005005005005005501e+02,3.753712770848032960e+04,7.932453560549406291e+01,2.421486216565305949e+04,6.232113565095279029e+00,2.565889649418697331e+02
6.006006006006006146e+02,4.161917129491405649e+04,7.725514915908705404e+01,2.700384102578324746e+04,6.567752922114996394e+00,3.195445223340550456e+02
7.007007007007007360e+02,4.455694759591495676e+04,7.556495974782481539e+01,2.977620012400882115e+04,6.882265918914767688e+00,3.854999705036902355e+02
8.008008008008008574e+02,4.654911177259161195e+04,7.413638533382658125e+01,3.253236188401037725e+04,7.177121280204612042e+00,4.542408292448369593e+02
9.009009009009009787e+02,4.784614079122972907e+04,7.288316677430661628e+01,3.527272860140479315e+04,7.453170055077993794e+00,5.255642416334137579e+02
1.001001001001001100e+03,4.866835798654756218e+04,7.174648249421926494e+01,3.799768645952142833e+04,7.711258616461933890e+00,5.992763589049366146e+02
1.101101101101101222e+03,4.918080485686764587e+04,7.068805477701332052e+01,4.070760372586904123e+04,7.952382802386886773e+00,6.751932724610112473e+02
1.201201201201201229e+03,4.949682729375823692e+04,6.968367056601998399e+01,4.340282835798536689e+04,8.177657704137876848e+00,7.531423854340526987e+02
1.301301301301301464e+03,4.969045627297195460e+04,6.871825132862676355e+01,4.608368665356010024e+04,8.388246011992002593e+00,8.329632152002848215e+02
1.401401401401401472e+03,4.980862970163786667e+04,6.778246475525138237e+01,4.875048311518415721e+04,8.585294446276261482e+00,9.145075030682035049e+02
1.501501501501501707e+03,4.988059009091359621e+04,6.687052394548960876e+01,5.140350131974690157e+04,8.769892108486429194e+00,9.976387516255689434e+02
1.601601601601601715e+03,4.992435934837142122e+04,6.597880721674621896e+01,5.404300523773203895e+04,8.943048672078555583e+00,1.082231490626558070e+03
