t,S_a,I_a,S_h,I_h,R_h
0.000000000000000000e+00,9.900000000000000000e+03,1.000000000000000000e+02,9.999000000000000000e+03,1.000000000000000000e+00,0.000000000000000000e+00
1.001001001001001072e+02,1.446837663574996077e+04,9.386725165387473169e+01,1.288143915320291671e+04,4.509335235392605057e+00,4.074733396616315417e+01
2.002002002002002143e+02,2.008862715421156099e+04,8.853055489230082742e+01,1.574342756647942770e+04,5.009239774098974252e+00,8.822074800510985426e+01
3.003003003003003073e+02,2.627722481234581210e+04,8.396305345393354003e+01,1.858626051066208674e+04,5.426101459494827139e+00,1.400606253059249013e+02
4.004004004004004287e+02,3.231235119184882205e+04,8.009400418254941201e+01,2.141120305857758649e+04,5.786398432958978155e+00,1.955626775279387743e+02
5.005005005005005501e+02,3.753957984559520264e+04,7.681360471980875104e+01,2.421915390900446437e+04,6.106263030831561522e+00,2.542353531806550393e+02
6.006006006006006146e+02,4.162183014388026641e+04,7.399507034087493196e+01,2.701079744864251188e+04,6.394726411781785025e+00,3.157120949021679053e+02
7.007007007007007360e+02,4.455967840350681945e+04,7.151955543757981104e+01,2.978670095741577825e+04,6.656602053779510975e+00,3.796947897790070670e+02
8.008008008008008574e+02,4.655184412770768540e+04,6.929116893050337467e+01,3.254736725975515219e+04,6.894634473717386136e+00,4.459228127708262832e+02
9.009009009009009787e+02,4.784884942451858660e+04,6.724019029178987239e+01,3.529325797565488028e+04,7.110750526077517009e+00,5.141591824047022783e+02
1.001001001001001100e+03,4.867104297119361581e+04,6.531924070399568905e+01,3.802480181000011362e+04,7.306623054440502862e+00,5.841855595383410673e+02
1.101101101101101222e+03,4.918347686688288377e+04,6.349737293026417007e+01,4.074239704423135117e+04,7.483849842157571430e+00,6.558007385309006168e+02
1.201201201201201229e+03,4.949949930500370101e+04,6.175473044392582267e+01,4.344641266839690797e+04,7.643975301121161081e+00,7.288199975976798441e+02
1.301301301301301464e+03,4.969313711173201591e+04,6.007857684026762968e+01,4.613718961566558573e+04,7.788466329324783999e+00,8.030744124888556144e+02
1.401401401401401472e+03,4.981132751654719323e+04,5.846061364222416046e+01,4.881504250088767731e+04,7.918687738765002315e+00,8.784098884999771144e+02
1.501501501501501707e+03,4.988331084834500507e+04,5.689526579503743875e+01,5.148026172711077379e+04,8.035888142301663706e+00,9.546859818767022716e+02
1.601601601601601715e+03,4.992710661522740702e+04,5.537862048390235969e+01,5.413311564988598548e+04,8.141197085467380745e+00,1.031774677102265059e+03
1.701701701701701722e+03,4.995374820861033368e+04,5.390778057565362502e+01,5.677385274353440764e+04,8.235629102160546111e+00,1.109559161562651525e+03
1.801801801801801957e+03,4.996996498970215180e+04,5.248047518116907639e+01,5.940270363281941536e+04,8.320092016686219338e+00,1.187932673196382893e+03
1.901901901901901965e+03,4.997985156249436113e+04,5.109482620873999537e+01,6.201988294908531680e+04,8.395397059403467921e+00,1.266797446168926854e+03
2.002002002002002200e+03,4.998589586057326960e+04,4.974920859708326049e+01,6.462559100002589548e+04,8.462269357679863546e+00,1.346063762163088995e+03
2.102102102102102435e+03,4.998960828634801874e+04,4.844216652875447693e+01,6.722001524863280065e+04,8.521357992476437104e+00,1.425649109512256473e+03
2.202202202202202443e+03,4.999190537532085000e+04,4.717236261284061527e+01,6.980333166184971924e+04,8.573245190749689826e+00,1.505477423090468847e+03
2.302302302302302451e+03,4.999334258688324189e+04,4.593854865998611814e+01,7.237570564934125287e+04,8.618454672177575659e+00,1.585478522364379842e+03
2.402402402402402458e+03,4.999425777393818862e+04,4.473954427128206390e+01,7.493729340502228297e+04,8.657458734803029188e+00,1.665587391317812717e+03
2.502502502502502466e+03,4.999485587434245099e+04,4.357422634655411997e+01,7.748824260753845738e+04,8.690684497854482160e+00,1.745743752278790907e+03
